date,gross_return,turnover,cost,net_return,nav
2023-06-26,-0.012470567644774496,0.39774823203353993,0.0005966223480503099,-0.013067189992824807,1.2401341168328355
2023-06-27,0.0006801665424601058,0.0,0.0,0.0006801665424601058,1.2409776145672684
2023-06-28,0.005833388140358479,0.0,0.0,0.005833388140358479,1.2482167186665354
2023-06-29,0.005706878412192154,0.0,0.0,0.005706878412192154,1.2553401397120307
2023-06-30,0.0009216771099484544,0.0,0.0,0.0009216771099484544,1.256497157984003
2023-07-03,0.003959501247314232,0.8010251518810928,0.001201537727821639,0.0027579635194925935,1.259962531308069
2023-07-04,-0.003181421538679986,0.0,0.0,-0.003181421538679986,1.2559540593730356
2023-07-05,-0.0014452131149518062,0.0,0.0,-0.0014452131149518062,1.2541389380946528
2023-07-06,-0.00030513534853679307,0.0,0.0,-0.00030513534853679307,1.2537562559726636
2023-07-07,-0.0024715521190626414,0.0,0.0,-0.0024715521190626414,1.2506575320414262
2023-07-10,-0.00282249281010138,0.21953040983975297,0.00032929561475962944,-0.003151788424861009,1.2467157241084728
2023-07-11,0.003245004137967634,0.0,0.0,0.003245004137967634,1.250761321792074
2023-07-12,-0.0004870263767344728,0.0,0.0,-0.0004870263767344728,1.2501521680373622
2023-07-13,0.010609792788559374,0.0,0.0,0.010609792788559374,1.2634160234944067
2023-07-14,0.0006539697167586646,0.0,0.0,0.0006539697167586646,1.2642422593134397
2023-07-17,0.0017271893047710982,0.5276026028965872,0.0007914039043448808,0.0009357854004262174,1.265425318762307
2023-07-18,0.003943058771146147,0.0,0.0,0.003943058771146147,1.2704149651646832
2023-07-19,0.00863135320278083,0.0,0.0,0.00863135320278083,1.2813803654431182
2023-07-20,-0.008982019918233629,0.0,0.0,-0.008982019918233629,1.2698709814778746
2023-07-21,-0.007729731235836201,0.0,0.0,-0.007729731235836201,1.260055220086863
2023-07-24,-0.00013066898474559173,0.8133205525200056,0.0012199808287800082,-0.0013506498135256,1.2583533267388207
2023-07-25,-0.0025178991865369166,0.0,0.0,-0.0025178991865369166,1.255184919921049
2023-07-26,0.0024014565921434638,0.0,0.0,0.0024014565921434638,1.2581991920213524
2023-07-27,0.003440856130867721,0.0,0.0,0.003440856130867721,1.2625284744250718
2023-07-28,-0.005546453389889691,0.0,0.0,-0.005546453389889691,1.2555259190882646
2023-07-31,0.002914447070108408,1.1038532790483409,0.0016557799185725113,0.0012586671515358967,1.257106208320523
2023-08-01,-0.00010171620223045901,0.0,0.0,-0.00010171620223045901,1.2569783402512125
2023-08-02,-0.009407974034372133,0.0,0.0,-0.009407974034372133,1.245152720664361
2023-08-03,-0.006464990681903629,0.0,0.0,-0.006464990681903629,1.2371028199277188
2023-08-04,0.0037474423414259645,0.0,0.0,0.0037474423414259645,1.2417387914158133
2023-08-07,-0.005152543810896941,1.0898614736221521,0.0016347922104332283,-0.006787336021330169,1.2333106929877538
2023-08-08,0.00033537129327964633,0.0,0.0,0.00033537129327964633,1.2337243099898767
2023-08-09,-0.0025110667654436223,0.0,0.0,-0.0025110667654436223,1.2306263458773412
2023-08-10,-0.003313675773289394,0.0,0.0,-0.003313675773289394,1.2265484491690357
2023-08-11,-0.0038494249860077908,0.0,0.0,-0.0038494249860077908,1.2218269429222552
2023-08-14,0.00025357304837739204,0.8009748759747493,0.001201462313962124,-0.000947889265584732,1.220668786278657
2023-08-15,0.004560742819831394,0.0,0.0,0.004560742819831394,1.2262359426810696
2023-08-16,-0.0028182955635605513,0.0,0.0,-0.0028182955635605513,1.2227800473639332
2023-08-17,-0.0024278403623611117,0.0,0.0,-0.0024278403623611117,1.2198113326106532
2023-08-18,-0.004882967729840669,0.0,0.0,-0.004882967729840669,1.2138550332370215
2023-08-21,0.002732900246669906,0.6586660984411247,0.0009879991476616872,0.001744901099008219,1.2159730902185535
2023-08-22,0.0019539157932782123,0.0,0.0,0.0019539157932782123,1.2183489992437329
2023-08-23,0.002629109557499967,0.0,0.0,0.002629109557499967,1.221552172242015
2023-08-24,0.006323502630843452,0.0,0.0,0.006323502630843452,1.2292766606169
2023-08-25,-0.009842385580863703,0.0,0.0,-0.009842385580863703,1.217177645737552
2023-08-28,0.0002796759541261177,0.6901818942592548,0.0010352728413888822,-0.0007555968872627645,1.2162579500971868
2023-08-29,0.002092441908752245,0.0,0.0,0.002092441908752245,1.2188028992038233
2023-08-30,0.007628088700408976,0.0,0.0,0.007628088700408976,1.2281000358272658
2023-08-31,0.0020336809829007547,0.0,0.0,0.0020336809829007547,1.2305975995152274
2023-09-01,0.0003860551686353938,0.0,0.0,0.0003860551686353938,1.2310726780790306
2023-09-04,-0.00016637040168859547,0.07232700029962903,0.00010849050044944355,-0.000274860902138039,1.2307343043321364
2023-09-05,0.0005610096506281437,0.0,0.0,0.0005610096506281437,1.2314247581542257
2023-09-06,0.0009028141498326587,0.0,0.0,0.0009028141498326587,1.2325365058503415
2023-09-07,-0.0033540411375517962,0.0,0.0,-0.0033540411375517962,1.2284025277061852
2023-09-08,0.0024818394791903896,0.0,0.0,0.0024818394791903896,1.2314512255957837
2023-09-11,-0.0005135800225467328,0.21442297917764291,0.0003216344687664644,-0.0008352144913131973,1.2304226996868206
2023-09-12,0.001457135648651832,0.0,0.0,0.001457135648651832,1.2322155924654448
2023-09-13,-0.0013063929237670437,0.0,0.0,-0.0013063929237670437,1.2306058347348925
2023-09-14,0.0047561830794330935,0.0,0.0,0.0047561830794330935,1.2364588213835104
2023-09-15,-0.0014391477575198615,0.0,0.0,-0.0014391477575198615,1.2346793744434506
2023-09-18,-0.005435382162364282,0.6292589185095039,0.0009438883777642559,-0.006379270540128538,1.2268030206835592
2023-09-19,0.0038056190134332264,0.0,0.0,0.0038056190134332264,1.2314717655848098
2023-09-20,0.0012664222724645584,0.0,0.0,0.0012664222724645584,1.2330313288566577
2023-09-21,-0.0044879834949350245,0.0,0.0,-0.0044879834949350245,1.227497504604011
2023-09-22,-0.003077430624597804,0.0,0.0,-0.003077430624597804,1.2237199661917253
2023-09-25,0.0017017316037552096,0.9899759153665624,0.0014849638730498435,0.0002167677307053661,1.2239852291918156
2023-09-26,-0.0013342856318314768,0.0,0.0,-0.0013342856318314768,1.222352083286931
2023-09-27,-0.007081511012506405,0.0,0.0,-0.007081511012506405,1.2136959835479744
2023-09-28,-0.006528550848798306,0.0,0.0,-0.006528550848798306,1.2057723076043991
2023-10-09,0.0009481686557928794,0.8002444425765657,0.0012003666638648485,-0.0002521980080719691,1.2054682142302329
2023-10-10,-0.0012720039643187276,0.0,0.0,-0.0012720039643187276,1.2039348538828718
2023-10-11,-0.000292595607438749,0.0,0.0,-0.000292595607438749,1.2035825878329833
2023-10-12,0.007205672074827151,0.0,0.0,0.007205672074827151,1.2122552092758798
2023-10-13,-0.0009502925363640568,0.0,0.0,-0.0009502925363640568,1.2111032121983365
2023-10-16,-0.003245560771198093,0.3819211761112058,0.0005728817641668087,-0.0038184425353649017,1.2064786841781614
2023-10-17,0.0036680477732958386,0.0,0.0,0.0036680477732958386,1.2109041056291898
2023-10-18,-0.002447451403433493,0.0,0.0,-0.002447451403433493,1.2079404766764443
2023-10-19,-0.011000644969455669,0.0,0.0,-0.011000644969455669,1.1946523523482917
2023-10-20,-0.005250996458584306,0.0,0.0,-0.005250996458584306,1.1883792370768715
2023-10-23,-0.005715302216415254,1.3264470026291368,0.001989670503943705,-0.007704972720358959,1.1792228074737532
2023-10-24,0.004137019761751568,0.0,0.0,0.004137019761751568,1.1841012755317804
2023-10-25,-0.001934729889757333,0.0,0.0,-0.001934729889757333,1.1818103594015092
2023-10-26,-0.0029476903915486297,0.0,0.0,-0.0029476903915486297,1.1783267483604687
